id,spkid,full_name,pdes,name,prefix,neo,pha,H,G,M1,M2,K1,K2,PC,diameter,extent,albedo,rot_per,GM,BV,UB,IR,spec_B,spec_T,H_sigma,diameter_sigma,orbit_id,epoch,epoch_mjd,epoch_cal,equinox,e,a,q,i,om,w,ma,ad,n,tp,tp_cal,per,per_y,moid,moid_ld,moid_jup,t_jup,sigma_e,sigma_a,sigma_q,sigma_i,sigma_om,sigma_w,sigma_ma,sigma_ad,sigma_n,sigma_tp,sigma_per,class,producer,data_arc,first_obs,last_obs,n_obs_used,n_del_obs_used,n_dop_obs_used,condition_code,rms,two_body,A1,A2,A3,DT
a0000433,2000433,433 Eros (A898 PA),433,Eros,,Y,N,10.4,0.46,,,,,,16.84,34.4x11.2x11.2,0.25,5.270,4.463E-04,0.921,0.531,,S,S,,0.06,JPL 658,2459000.5,59000,20200531.0000000,J2000,0.2229512647434280,1.458045729081040,1.132972589728670,10.83054121829920,304.2993259000440,178.8822959227220,271.0717325705170,1.783118868433410,0.5598186418120110,2459159.351922370000,20201105.8519224,643.0654021001490,1.76061711731731,0.148623,57.83961291,3.2865,4.582,9.6497E-09,2.1374E-10,1.4063E-08,1.1645E-06,3.8525E-06,4.088E-06,1.4389E-06,2.6139E-10,1.231E-10,2.5792E-06,1.414E-07,AMO,Giorgini,46330,1893-10-29,2020-09-03,8767,4,2,0,0.28397,,,,,
a0000719,2000719,719 Albert (A911 TB),719,Albert,,Y,N,15.5,,,,,,,,,,5.801,,,,,S,,,,JPL 214,2459000.5,59000,20200531.0000000,J2000,0.5465584653041260,2.63860206439375,1.196451769530400,11.56748478123320,183.8669499802360,156.17633771,140.2734217745990,4.080752359257100,0.2299551959241750,2458390.496728660000,20180928.9967287,1565.522355575330,4.28616661348481,0.203482,79.18908994,1.41794,3.140,2.1784E-08,2.5313E-09,5.8116E-08,2.9108E-06,1.6575E-05,1.6827E-05,2.5213E-06,3.9148E-09,3.309E-10,1.0306E-05,2.2528E-06,AMO,Otto Matic,39593,1911-10-04,2020-02-27,1874,,,0,0.39148,,,,,
a0000887,2000887,887 Alinda (A918 AA),887,Alinda,,Y,N,13.8,-0.12,,,,,,4.2,,0.31,73.97,,0.832,0.436,,,S,,,JPL 266,2459000.5,59000,20200531.0000000,J2000,0.5703317184308990,2.473736929707680,1.062886295641520,9.393855031979150,110.4342521969210,350.4955456805040,294.5791651788780,3.884587563773830,0.2533225231442170,2459258.751157490000,20210213.2511575,1421.113273039090,3.89079609319396,0.082217,31.99638989,1.31457,3.221,4.3543E-08,6.0468E-09,1.0944E-07,4.6115E-06,2.6493E-05,2.7378E-05,9.6421E-06,9.4955E-09,9.2884E-10,3.8951E-05,5.2107E-06,AMO,Otto Matic,37472,1918-02-03,2020-09-07,1424,,,0,0.48159,,,,,
a0001036,2001036,1036 Ganymed (A924 UB),1036,Ganymed,,Y,N,9.4,0.30,,,,,,37.675,,0.238,10.297,,0.842,0.417,,S,S,,0.399,JPL 794,2459000.5,59000,20200531.0000000,J2000,0.5330461170258330,2.664724624258410,1.244303510354340,26.67764140004,215.5468276713860,132.3646326521060,4.817744371561910,4.085145738162480,0.2265820861894490,2458979.237311270000,20200509.7373113,1588.828164019100,4.34997443947736,0.344956,134.24652652,1.9529,3.035,2.4193E-08,2.0851E-09,6.4477E-08,4.0473E-06,7.1529E-06,7.5739E-06,2.3009E-06,3.1965E-09,2.6594E-10,1.0137E-05,1.8648E-06,AMO,Otto Matic,35027,1924-10-23,2020-09-16,6249,0,1,0,0.38525,,,,,
a0001221,2001221,1221 Amor (1932 EA1),1221,Amor,,Y,N,17.7,,,,,,,1.0,,,,,,,,,,,,JPL 101,2459000.5,59000,20200531.0000000,J2000,0.4352849480969390,1.919498150734780,1.083969497820020,11.8765395826284,171.3270073161360,26.69479191018600,38.52241014417850,2.755026803649540,0.3706146024716490,2458896.558034720000,20200217.0580347,971.3594596627880,2.65943726122598,0.107451,41.81670567,2.21364,3.781,3.4983E-08,9.5616E-10,6.7525E-08,4.9915E-06,2.362E-05,2.5439E-05,8.1275E-06,1.3724E-09,2.7692E-10,2.1913E-05,7.258E-07,AMO,Otto Matic,32319,1932-03-12,2020-09-05,540,,,0,0.45568,,,,,
a0001566,2001566,1566 Icarus (1949 MA),1566,Icarus,,Y,Y,16.9,,,,,,,1.0,,0.51,2.2726,,0.774,0.520,,,,,,JPL 119,2459000.5,59000,20200531.0000000,J2000,0.8270213517584100,1.078168924356220,0.186500203111228,22.82210584381250,87.9975459324354,31.39333873322230,192.0831791807480,1.969837645601220,0.8803874816638400,2459191.230586610000,20201207.7305866,408.9108574325000,1.11953691288843,0.0342447,13.327009899,3.21481,5.298,3.1066E-08,2.7933E-09,3.3477E-08,1.0278E-05,3.6595E-06,5.932E-06,6.1861E-06,5.1034E-09,3.4213E-09,7.7365E-06,1.5891E-06,APO,Otto Matic,26002,1949-07-01,2020-09-08,1052,10,13,0,0.34334,,,-3.05289099034428E-15,,
a0001580,2001580,1580 Betulia (1950 KA),1580,Betulia,,Y,N,14.7,0.00,,,,,,5.8,,0.08,6.1324,,0.656,0.249,,,C,,,JPL 231,2459000.5,59000,20200531.0000000,J2000,0.4873502364761740,2.197150031438470,1.126368444043300,52.09207037962280,62.29781712181260,159.5179483080450,195.0724539815500,3.267931618833630,0.3026317600165270,2459545.477652080000,20211126.9776521,1189.564505656450,3.25685011815592,0.136136,52.98004712,1.86223,3.065,2.2741E-08,2.7446E-10,5.0021E-08,9.5166E-06,2.5227E-06,7.2733E-06,2.1045E-06,4.0821E-10,5.6705E-11,6.9886E-06,2.2289E-07,AMO,Otto Matic,25404,1950-05-22,2019-12-10,1220,5,6,0,0.51862,,,,,
a0001620,2001620,1620 Geographos (1951 RA),1620,Geographos,,Y,Y,15.3,,,,,,,2.56,5.0x2.0x2.1,0.290,5.22204,,0.862,0.471,,S,S,,0.15,JPL 609,2459000.5,59000,20200531.0000000,J2000,0.3354548020109590,1.245666863784180,0.8278019326218430,13.3370434846758,337.1869752155530,276.956067645158,235.1126416339230,1.66353179494651,0.7089264923814850,2459176.664044800000,20201123.1640448,507.8100534664150,1.39030815459662,0.0303535,11.812671595,3.45747,5.074,1.1323E-08,1.5884E-10,1.4171E-08,2.5705E-06,2.6329E-06,3.4911E-06,3.0666E-06,2.1212E-10,1.3559E-10,4.3566E-06,9.7128E-08,APO,Otto Matic,25024,1951-08-31,2020-03-05,4793,3,4,0,0.40639,,,,,
a0001627,2001627,1627 Ivar (1929 SH),1627,Ivar,,Y,N,12.7,0.60,,,,,,9.12,,0.15,4.795,,0.872,0.459,,S,S,,,JPL 1011,2459000.5,59000,20200531.0000000,J2000,0.3967830583744960,1.86327294504367,1.123957807322790,8.451869889021320,133.1193427586830,167.7934626032440,256.5069001499000,2.602588082764550,0.3875157486110300,2459267.568113290000,20210222.0681133,928.9945022630590,2.54344832926231,0.111952,43.56835984,2.65747,3.879,1.3337E-08,1.815E-10,2.4798E-08,2.3953E-06,1.4166E-05,1.4064E-05,1.1972E-06,2.5352E-10,5.6622E-11,3.0829E-06,1.3574E-07,AMO,Otto Matic,33143,1929-09-25,2020-06-22,7298,3,1,0,0.35876,,,,,
a0001685,2001685,1685 Toro (1948 OA),1685,Toro,,Y,N,14.3,,,,,,,3.4,,0.31,10.1995,,0.880,0.470,,S,S,,,JPL 491,2459000.5,59000,20200531.0000000,J2000,0.4358371101234200,1.367586471676900,0.7715415360173550,9.383132281270340,274.2452382733310,127.2065882952970,290.2506511775090,1.963631407336440,0.6162712104327690,2459113.679632020000,20200921.1796320,584.1583930996780,1.59933851635778,0.0506645,19.717103465,3.47931,4.715,5.7556E-09,8.1654E-10,7.8405E-09,3.3104E-06,1.6385E-05,1.6564E-05,2.0642E-06,1.1724E-09,5.5193E-10,3.3759E-06,5.2317E-07,APO,Otto Matic,26348,1948-07-17,2020-09-05,3002,7,2,0,0.32086,,,-3.09777571378824E-15,,
