pdes,name,pha,diameter
433,Eros,N,16.84
719,Albert,N,
887,Alinda,N,4.2
1036,Ganymed,N,37.675
1221,Amor,N,1.0
1566,Icarus,Y,1.0
1580,Betulia,N,5.8
1620,Geographos,Y,2.56
1627,Ivar,N,9.12
1685,Toro,N,3.4
1862,Apollo,Y,1.5
1863,Antinous,N,2.1
1864,Daedalus,N,3.7
1865,Cerberus,N,1.2
1866,Sisyphus,N,8.48
1915,Quetzalcoatl,N,0.5
1916,Boreas,N,3.5
1917,Cuyo,N,5.7
1943,Anteros,N,2.3
1980,Tezcatlipoca,N,4.3
1981,Midas,Y,3.4
2059,Baboquivari,N,
2061,Anza,N,2.6
2062,Aten,N,1.1
2063,Bacchus,N,1.024
2100,Ra-Shalom,N,2.3
2101,Adonis,Y,0.6
2102,Tantalus,Y,1.649
2135,Aristaeus,Y,
2201,Oljato,Y,1.80
2202,Pele,N,
2212,Hephaistos,N,5.7
2329,Orthos,N,
2340,Hathor,Y,0.3
2368,Beltrovata,N,2.3
2608,Seneca,N,0.9
3102,Krok,N,1.6
3103,Eger,N,1.5
3122,Florence,Y,4.9
3199,Nefertiti,N,2.2
3200,Phaethon,Y,6.25
3271,Ul,N,
3288,Seleucus,N,2.8
3352,McAuliffe,N,
3360,Syrinx,N,1.8
3361,Orpheus,Y,0.3
3362,Khufu,Y,0.7
3551,Verenia,N,0.9
3552,Don Quixote,N,19.0
3553,Mera,N,
3554,Amun,N,3.341
3671,Dionysus,Y,1.5
3691,Bede,N,4.3
3752,Camillo,N,2.306
3753,Cruithne,N,2.071
3757,Anagolay,Y,0.5
3838,Epona,N,
3908,Nyx,N,1.0
3988,Huma,N,0.7
4015,Wilson-Harrington,Y,4
4034,Vishnu,Y,0.42
4055,Magellan,N,2.49
4179,Toutatis,Y,5.4
4183,Cuno,Y,3.651
4197,Morpheus,N,1.8
4257,Ubasti,N,
4341,Poseidon,N,3.177
4401,Aditi,N,1.801
4450,Pan,Y,
4486,Mithra,Y,1.849
4487,Pocahontas,N,
4503,Cleobulus,N,
4544,Xanthus,N,1.3
4581,Asclepius,Y,
4596,,N,
4660,Nereus,Y,0.33
4688,,N,0.6
4769,Castalia,Y,1.4
4947,Ninkasi,N,
4953,,Y,
4954,Eric,N,10.8
